,AAPL,MSFT,JNJ,XOM,BTC
2020-01-02,,,,,
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-20,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,0.01790709374361674,0.021125118801835645,0.01969371276403349,0.019956863361821734,0.02364310283379471
2020-02-13,0.019411150965156033,0.020901683948598163,0.018789230400808245,0.01893256171333604,0.025435425855241816
2020-02-14,0.019179479339377272,0.021407218436165342,0.02089335202399992,0.019132493542909836,0.02412646290555188
2020-02-17,0.018333593897583506,0.02073303566678466,0.021097150003244965,0.019574263439848815,0.02424098278872245
2020-02-18,0.018761608901316715,0.020757766974961272,0.02092507129112853,0.018879160908159585,0.024082123682745142
2020-02-19,0.019110136772079855,0.020331328186633614,0.02057105175468434,0.01889381974345595,0.02408222726087142
2020-02-20,0.01793036823906632,0.020262743197846513,0.02013846644200131,0.01863071751754447,0.024513462564008548
2020-02-21,0.01846170592812662,0.020182545110832523,0.020286533586626014,0.018618296271932375,0.025061021567305292
2020-02-24,0.01877477372048853,0.02004497561127668,0.020447216376702455,0.018037785437504048,0.025142761031067756
2020-02-25,0.01856875249448768,0.021565463377733126,0.020653460173295134,0.017360422185297014,0.025244636348610284
2020-02-26,0.019064642664375624,0.0215741478984176,0.02006927255975327,0.01762443517303022,0.024577438596143118
2020-02-27,0.019180746098168465,0.021533931477397114,0.02001644390338667,0.01818086601863077,0.024563395701125246
2020-02-28,0.019062694129833906,0.021884485798945214,0.02003452213574771,0.01801223541716261,0.02474302595645012
2020-03-02,0.018144226755849292,0.02145828300056242,0.019750534055782597,0.017686832450327063,0.025185845739152793
2020-03-03,0.01789400880062053,0.02135612888108476,0.01959758953874188,0.018033115061922306,0.025882111914821978
2020-03-04,0.017931359708573708,0.021331674223436882,0.019301429817414405,0.01802024786485681,0.02623565205180674
2020-03-05,0.017754498353681102,0.021099779244524903,0.01878649324986093,0.01877647413925089,0.025381987234133513
2020-03-06,0.018310293623515123,0.01817367638943202,0.017992975911961074,0.01905813790049072,0.02523003987700257
2020-03-09,0.018303335162381803,0.017878959347231244,0.01766443386368736,0.019187981030103832,0.024403892877200375
2020-03-10,0.018667602528096874,0.016597961699046062,0.01836726176291193,0.019505020194168957,0.02467834501862178
2020-03-11,0.017669666453935376,0.016700296709492034,0.018941512365549123,0.017136828650374355,0.02546190962036946
2020-03-12,0.01766912418858585,0.016071763383145882,0.019603123361503827,0.017136595031294145,0.025254680113682693
2020-03-13,0.01765808498470303,0.015136937406653336,0.019519742158897062,0.017014390193785603,0.023126205518873632
2020-03-16,0.01747357453289929,0.01668452505510585,0.01951270869576769,0.017290907636903722,0.022942829531173357
2020-03-17,0.018057783194891843,0.016836651773358764,0.019523039007621094,0.017257885687123886,0.023355301781098497
2020-03-18,0.018499039713979672,0.016836648798769362,0.01916175224626361,0.01769996493228198,0.02393447851891318
2020-03-19,0.018303699257286938,0.01712694596857071,0.01900139505693369,0.01725744566279833,0.023810901399405025
2020-03-20,0.018188170741049444,0.020516868271134327,0.01961688222949862,0.018686902179657808,0.023787762008904444
2020-03-23,0.01822368875612586,0.021801269741696775,0.020555994366723177,0.018637320851740434,0.02429731630716132
2020-03-24,0.018681918595872208,0.02118274411843622,0.0204480685499522,0.018776614527495038,0.024506920185849056
2020-03-25,0.018643895976628237,0.021247399628574425,0.017823426608156254,0.02066067304268865,0.025122255823059086
2020-03-26,0.01713775122606035,0.021568430581833005,0.018958618965766,0.02062995415755455,0.022960994169958712
2020-03-27,0.01745060620942991,0.02065478299576443,0.016887404508341017,0.020963795050003,0.023493901970032312
2020-03-30,0.01755192692941381,0.021043304138783112,0.017711170412718084,0.021117583400626926,0.02314443687585128
2020-03-31,0.01754383696101579,0.020636195271804925,0.01771078347031956,0.021279219225248905,0.024095462119170546
2020-04-01,0.018027510853382184,0.02147981858462098,0.01769587118857898,0.02232485481906338,0.02428638145806371
2020-04-02,0.017979984878247958,0.021438443055374908,0.018327399110486933,0.022343918329535303,0.02415877706321258
2020-04-03,0.0170506148308809,0.02136021179358731,0.018332342397673673,0.022408491212297283,0.023320931309497018
2020-04-06,0.016399361169596748,0.021431506524724517,0.017866533603396375,0.022194336152762395,0.023320507868339353
2020-04-07,0.01654869248713917,0.020318915757737012,0.01737785481217326,0.022129202773790397,0.023903146133773517
2020-04-08,0.01636687840383038,0.02029950194392938,0.0178343185415256,0.021624727116838157,0.022834648122518068
2020-04-09,0.017315120655690828,0.020288114474296407,0.01774965273201231,0.021943938214037454,0.024245399328296658
2020-04-10,0.017310025772362313,0.021620739149952693,0.018060781133223826,0.021912333383500748,0.0242874339971316
2020-04-13,0.01814508377677762,0.02163659874454585,0.01810210613165755,0.021877496109500107,0.023314868021452485
2020-04-14,0.01998811820589577,0.02157591401905675,0.01801147025676067,0.021356922247317642,0.02163752442006554
2020-04-15,0.019979678067856166,0.021745874567986587,0.018402160496807728,0.021450285808222648,0.021480708130630282
2020-04-16,0.019874852645249335,0.02194097467861519,0.019322925038960867,0.021409726799101136,0.02147735934340752
2020-04-17,0.0195942978635974,0.022154977699387294,0.01956662174957803,0.021392805241098094,0.0215663761285638
2020-04-20,0.0195644569265853,0.02213452654274729,0.019760140617843053,0.0215214536851489,0.020868629259474518
2020-04-21,0.019882478755524555,0.02275341308379649,0.01927524493019268,0.021936633746793915,0.02108682311875348
2020-04-22,0.0198732616987682,0.023223195965779382,0.01883591793973424,0.022277505157522748,0.020347156972142035
2020-04-23,0.019849750071033092,0.02378838246119321,0.01823592997161835,0.02277545591213045,0.02091318601690036
2020-04-24,0.02030344195994625,0.023779464023298075,0.018615727977317677,0.02256906734957805,0.020906075284648457
2020-04-27,0.020342947915694083,0.02249678185624351,0.018612967374428732,0.022914704472069992,0.021193210611587174
2020-04-28,0.02027193961657787,0.02241765709341762,0.01862086447061967,0.023386842500286876,0.020556011676882924
2020-04-29,0.020059478374510997,0.02241696768723789,0.01860322033653226,0.023401083982617404,0.02007149349999206
